lemma	sentence1	sentence2	label	answer	prompt
zerkrazen	wann d'Visière vum Kask zerkraazt ass, gëtt een éischter verblent 	meng Schlësselen hu mer an der Posch den Ecran vum Smartphone zerkraazt 	identical	richteg	"Ass d'Bedeitung vun 'zerkrazen' an deenen zwee Sätz identesch? saz1: ""wann d'Visière vum Kask zerkraazt ass, gëtt een éischter verblent "" saz2: ""meng Schlësselen hu mer an der Posch den Ecran vum Smartphone zerkraazt """
Loge	mäi Papp hat am Theater eng Loge reservéiert 	gëtt et am neie Stadion eigentlech och Logen ? 	identical	richteg	"Ass d'Bedeitung vun 'Loge' an deenen zwee Sätz identesch? saz1: ""mäi Papp hat am Theater eng Loge reservéiert "" saz2: ""gëtt et am neie Stadion eigentlech och Logen ? """
verlaangen	esou eng Aarbecht verlaangt vill Gedold 	ech bieden dech net dorëm, ech verlaangen et! 	different	falsch	"Ass d'Bedeitung vun 'verlaangen' an deenen zwee Sätz identesch? saz1: ""esou eng Aarbecht verlaangt vill Gedold "" saz2: ""ech bieden dech net dorëm, ech verlaangen et! """
schro	firwat hues de d'Kanner esou schro vernannt? 	fir hënt si schro Donnerwiedere gemellt 	identical	richteg	"Ass d'Bedeitung vun 'schro' an deenen zwee Sätz identesch? saz1: ""firwat hues de d'Kanner esou schro vernannt? "" saz2: ""fir hënt si schro Donnerwiedere gemellt """
duerchkucken	hien ass liicht ze duerchkucken 	ech hat säi Spillche séier duerchkuckt 	identical	richteg	"Ass d'Bedeitung vun 'duerchkucken' an deenen zwee Sätz identesch? saz1: ""hien ass liicht ze duerchkucken "" saz2: ""ech hat säi Spillche séier duerchkuckt """
Brëll	mäi Mann huet zwee Brëller : ee fir no an ee fir wäit 	mat sechs Dioptrien op deenen zwee Ae wier ech ouni Brëll verluer 	identical	richteg	"Ass d'Bedeitung vun 'Brëll' an deenen zwee Sätz identesch? saz1: ""mäi Mann huet zwee Brëller : ee fir no an ee fir wäit "" saz2: ""mat sechs Dioptrien op deenen zwee Ae wier ech ouni Brëll verluer """
Bewosstsinn	wat d'Ëmweltproblematik betrëfft, entsteet an der Gesellschaft ëmmer méi e grousst Bewosstsinn 	mir ginn déi Reform un am Bewosstsinn , datt vill Aarbecht op eis duerkënnt 	different	falsch	"Ass d'Bedeitung vun 'Bewosstsinn' an deenen zwee Sätz identesch? saz1: ""wat d'Ëmweltproblematik betrëfft, entsteet an der Gesellschaft ëmmer méi e grousst Bewosstsinn "" saz2: ""mir ginn déi Reform un am Bewosstsinn , datt vill Aarbecht op eis duerkënnt """
Geknéchels	wat war dat e Geknéchels , bis mer op deem Bierg waren! 	no dengem Geknéchels u mengem Handy kréien ech en elo guer net méi un! 	different	falsch	"Ass d'Bedeitung vun 'Geknéchels' an deenen zwee Sätz identesch? saz1: ""wat war dat e Geknéchels , bis mer op deem Bierg waren! "" saz2: ""no dengem Geknéchels u mengem Handy kréien ech en elo guer net méi un! """
ëffentlech	dee Problem soll an enger ëffentlecher Diskussioun zur Sprooch kommen 	et gouf ëffentlech doriwwer ofgestëmmt 	identical	richteg	"Ass d'Bedeitung vun 'ëffentlech' an deenen zwee Sätz identesch? saz1: ""dee Problem soll an enger ëffentlecher Diskussioun zur Sprooch kommen "" saz2: ""et gouf ëffentlech doriwwer ofgestëmmt """
Kartusch	d'Kanner hunn sech Kartusche fir an d'Füllfieder kaaft 	ech hunn déi schwaarz Kartusch am Printer gewiesselt 	identical	richteg	"Ass d'Bedeitung vun 'Kartusch' an deenen zwee Sätz identesch? saz1: ""d'Kanner hunn sech Kartusche fir an d'Füllfieder kaaft "" saz2: ""ech hunn déi schwaarz Kartusch am Printer gewiesselt """
bësseg	ech verdroen deng bësseg Remarken net méi 	hie kann esou richteg bësseg ginn 	identical	richteg	"Ass d'Bedeitung vun 'bësseg' an deenen zwee Sätz identesch? saz1: ""ech verdroen deng bësseg Remarken net méi "" saz2: ""hie kann esou richteg bësseg ginn """
Senkung	d'Leit hunn sech iwwer d'Senkung vun de Präisser gefreet 	am Beräich vun de Steiere si fir d'nächst Joer Senkunge geplangt 	identical	richteg	"Ass d'Bedeitung vun 'Senkung' an deenen zwee Sätz identesch? saz1: ""d'Leit hunn sech iwwer d'Senkung vun de Präisser gefreet "" saz2: ""am Beräich vun de Steiere si fir d'nächst Joer Senkunge geplangt """
Här	et huet en eeleren Här no dir gefrot 	wéi ech bei de Coiffer koum, souze schonn e puer Hären do ze waarden 	identical	richteg	"Ass d'Bedeitung vun 'Här' an deenen zwee Sätz identesch? saz1: ""et huet en eeleren Här no dir gefrot "" saz2: ""wéi ech bei de Coiffer koum, souze schonn e puer Hären do ze waarden """
Leerlauf	hien ass erëm am Leerlauf 	de Chauffer huet an de Leerlauf geschalt 	different	falsch	"Ass d'Bedeitung vun 'Leerlauf' an deenen zwee Sätz identesch? saz1: ""hien ass erëm am Leerlauf "" saz2: ""de Chauffer huet an de Leerlauf geschalt """
fräimaachen	maacht Iech uewe fräi , fir datt ech Iech kann oflauschteren! 	d'Passanten hunn de Wee fräigemaach , fir d'Ambulanz laanschtzeloossen 	different	falsch	"Ass d'Bedeitung vun 'fräimaachen' an deenen zwee Sätz identesch? saz1: ""maacht Iech uewe fräi , fir datt ech Iech kann oflauschteren! "" saz2: ""d'Passanten hunn de Wee fräigemaach , fir d'Ambulanz laanschtzeloossen """
Aarbechtskraaft	well mir net genuch Personal hunn, si mer frou iwwer all zousätzlech Aarbechtskraaft 	Aarbechtskraaft a Kapital sinn zwee wichteg Begrëffer am Marxismus 	different	falsch	"Ass d'Bedeitung vun 'Aarbechtskraaft' an deenen zwee Sätz identesch? saz1: ""well mir net genuch Personal hunn, si mer frou iwwer all zousätzlech Aarbechtskraaft "" saz2: ""Aarbechtskraaft a Kapital sinn zwee wichteg Begrëffer am Marxismus """
rompeleg	ech muss meng Box strecken, se ass ganz rompeleg 	wann ech laang an der Bidde leien, gëtt meng Haut ganz rompeleg 	different	falsch	"Ass d'Bedeitung vun 'rompeleg' an deenen zwee Sätz identesch? saz1: ""ech muss meng Box strecken, se ass ganz rompeleg "" saz2: ""wann ech laang an der Bidde leien, gëtt meng Haut ganz rompeleg """
Becher	kanns de mir e Becher Viz erausschëdden, wannechgelift? 	virun der Kontroll beim Dokter krut ech e Becher , fir eng Waasserprouf dranzemaachen 	different	falsch	"Ass d'Bedeitung vun 'Becher' an deenen zwee Sätz identesch? saz1: ""kanns de mir e Becher Viz erausschëdden, wannechgelift? "" saz2: ""virun der Kontroll beim Dokter krut ech e Becher , fir eng Waasserprouf dranzemaachen """
Pol	den negativen an de positive Pol zéien sech géigesäiteg un 	hues de de Kabel och un dee richtege Pol vun der Batterie ugeschloss? 	identical	richteg	"Ass d'Bedeitung vun 'Pol' an deenen zwee Sätz identesch? saz1: ""den negativen an de positive Pol zéien sech géigesäiteg un "" saz2: ""hues de de Kabel och un dee richtege Pol vun der Batterie ugeschloss? """
Duerchgang	dëse schmuelen Duerchgang féiert an d'Alstad 	beim zweeten Duerchgang huet den Athleet säin eegene Rekord gebrach 	different	falsch	"Ass d'Bedeitung vun 'Duerchgang' an deenen zwee Sätz identesch? saz1: ""dëse schmuelen Duerchgang féiert an d'Alstad "" saz2: ""beim zweeten Duerchgang huet den Athleet säin eegene Rekord gebrach """
Lëmmel	wat ass aus deem krappege Bouf e Lëmmel ginn! 	déi dräi Lëmmele si fir näischt ze gebrauchen 	different	falsch	"Ass d'Bedeitung vun 'Lëmmel' an deenen zwee Sätz identesch? saz1: ""wat ass aus deem krappege Bouf e Lëmmel ginn! "" saz2: ""déi dräi Lëmmele si fir näischt ze gebrauchen """
Animateur	dee jonken Animateur kennt sech och mat méi aler Musek gutt aus 	en Animateur sollt seng Nolauschterer net nëmmen ënnerhalen, mee och informéieren 	identical	richteg	"Ass d'Bedeitung vun 'Animateur' an deenen zwee Sätz identesch? saz1: ""dee jonken Animateur kennt sech och mat méi aler Musek gutt aus "" saz2: ""en Animateur sollt seng Nolauschterer net nëmmen ënnerhalen, mee och informéieren """
arieden	seng Elteren hunn him ageriet , hie misst vill Zopp iessen, fir grouss ze ginn 	riet der näischt an ! 	identical	richteg	"Ass d'Bedeitung vun 'arieden' an deenen zwee Sätz identesch? saz1: ""seng Elteren hunn him ageriet , hie misst vill Zopp iessen, fir grouss ze ginn "" saz2: ""riet der näischt an ! """
fécken	ech kann et kaum erwaarden, den Owend heemzekommen an dech esou richteg ze fécken 	féck dech (an de Knéi)! 	identical	richteg	"Ass d'Bedeitung vun 'fécken' an deenen zwee Sätz identesch? saz1: ""ech kann et kaum erwaarden, den Owend heemzekommen an dech esou richteg ze fécken "" saz2: ""féck dech (an de Knéi)! """
Kierchemolerei	op verschiddene Kierchemolereie gëtt d'Häll duergestallt 	eis Koschtesch ass eng international unerkannte Spezialistin an der Kierchemolerei 	different	falsch	"Ass d'Bedeitung vun 'Kierchemolerei' an deenen zwee Sätz identesch? saz1: ""op verschiddene Kierchemolereie gëtt d'Häll duergestallt "" saz2: ""eis Koschtesch ass eng international unerkannte Spezialistin an der Kierchemolerei """
Situatioun	d'Politikerin huet an engem Artikel hir Vue vun der Situatioun duergestallt 	wann s de der wëlls e Bild maachen, muss de der d'Situatioun op der Plaz ukucken 	identical	richteg	"Ass d'Bedeitung vun 'Situatioun' an deenen zwee Sätz identesch? saz1: ""d'Politikerin huet an engem Artikel hir Vue vun der Situatioun duergestallt "" saz2: ""wann s de der wëlls e Bild maachen, muss de der d'Situatioun op der Plaz ukucken """
Spuer	de Moie louch eng Spuer Schnéi op den Diech 	hien huet keng Spuer vu Schan 	identical	richteg	"Ass d'Bedeitung vun 'Spuer' an deenen zwee Sätz identesch? saz1: ""de Moie louch eng Spuer Schnéi op den Diech "" saz2: ""hien huet keng Spuer vu Schan """
Stéchprouf	aus hygieenesche Grënn ginn an de Kantinne reegelméisseg Stéchprouwe vum Iesse geholl 	eng Stéchprouf huet gewisen, datt et Onreegelméissegkeeten op de Konte gëtt 	different	falsch	"Ass d'Bedeitung vun 'Stéchprouf' an deenen zwee Sätz identesch? saz1: ""aus hygieenesche Grënn ginn an de Kantinne reegelméisseg Stéchprouwe vum Iesse geholl "" saz2: ""eng Stéchprouf huet gewisen, datt et Onreegelméissegkeeten op de Konte gëtt """
celibataire	meng Schwëster ass elo scho säit bal dräi Joer celibataire 	wann s de celibataire bass, fäls de an eng aner Steierklass ewéi bestuete Leit 	different	falsch	"Ass d'Bedeitung vun 'celibataire' an deenen zwee Sätz identesch? saz1: ""meng Schwëster ass elo scho säit bal dräi Joer celibataire "" saz2: ""wann s de celibataire bass, fäls de an eng aner Steierklass ewéi bestuete Leit """
Medail	déi fräiwëlleg Mataarbechter krute fir hiren Asaz eng Medail 	den Athleet huet trainéiert, fir bei den Olympesche Spiller eng Medail ze gewannen 	different	falsch	"Ass d'Bedeitung vun 'Medail' an deenen zwee Sätz identesch? saz1: ""déi fräiwëlleg Mataarbechter krute fir hiren Asaz eng Medail "" saz2: ""den Athleet huet trainéiert, fir bei den Olympesche Spiller eng Medail ze gewannen """
Gerubbels	wat war dat e Gerubbels dobaussen, wéi de Camion d'Steng ofgelueden huet! 	den Himmel huet sech ganz zougezunn, elo geet et geschwë lass mam Gerubbels 	identical	richteg	"Ass d'Bedeitung vun 'Gerubbels' an deenen zwee Sätz identesch? saz1: ""wat war dat e Gerubbels dobaussen, wéi de Camion d'Steng ofgelueden huet! "" saz2: ""den Himmel huet sech ganz zougezunn, elo geet et geschwë lass mam Gerubbels """
Mount	dee leschte Mount huet eis Bom nonzeg Joer kritt 	ech ginn op de Mount bezuelt 	identical	richteg	"Ass d'Bedeitung vun 'Mount' an deenen zwee Sätz identesch? saz1: ""dee leschte Mount huet eis Bom nonzeg Joer kritt "" saz2: ""ech ginn op de Mount bezuelt """
beweisen	der Vendeuse hir Reaktioun beweist , datt si kee Spaass versteet 	d'Tester hu bewisen , datt d'Substanz net gëfteg ass 	different	falsch	"Ass d'Bedeitung vun 'beweisen' an deenen zwee Sätz identesch? saz1: ""der Vendeuse hir Reaktioun beweist , datt si kee Spaass versteet "" saz2: ""d'Tester hu bewisen , datt d'Substanz net gëfteg ass """
redresséieren	d'Regierung versicht, déi katastrophal finanziell Situatioun ze redresséieren 	dee bedauerlechen Iertum gouf an der Tëschenzäit redresséiert 	different	falsch	"Ass d'Bedeitung vun 'redresséieren' an deenen zwee Sätz identesch? saz1: ""d'Regierung versicht, déi katastrophal finanziell Situatioun ze redresséieren "" saz2: ""dee bedauerlechen Iertum gouf an der Tëschenzäit redresséiert """
Secteur	et ass schwéier, am Secteur vun den Assurancë Fouss ze faassen 	den Inspekter ass elo fir en anere Secteur zoustänneg 	different	falsch	"Ass d'Bedeitung vun 'Secteur' an deenen zwee Sätz identesch? saz1: ""et ass schwéier, am Secteur vun den Assurancë Fouss ze faassen "" saz2: ""den Inspekter ass elo fir en anere Secteur zoustänneg """
opfälleg	et erkennt een hie gläich u senger opfälleger Stëmm 	der Police ass e Mann opgefall, deen sech opfälleg beholl huet 	different	falsch	"Ass d'Bedeitung vun 'opfälleg' an deenen zwee Sätz identesch? saz1: ""et erkennt een hie gläich u senger opfälleger Stëmm "" saz2: ""der Police ass e Mann opgefall, deen sech opfälleg beholl huet """
Geschäft	ech hu mer dëse Mantel an engem deiere Geschäft kaaft 	d'Geschäfter maachen haut schonn ëm fënnef Auer zou 	identical	richteg	"Ass d'Bedeitung vun 'Geschäft' an deenen zwee Sätz identesch? saz1: ""ech hu mer dëse Mantel an engem deiere Geschäft kaaft "" saz2: ""d'Geschäfter maachen haut schonn ëm fënnef Auer zou """
dëser	op dëser Streck ass et schonn dacks zu Accidenter komm 	mir hätte gären zwee där Äppel an dräi dëser 	different	falsch	"Ass d'Bedeitung vun 'dëser' an deenen zwee Sätz identesch? saz1: ""op dëser Streck ass et schonn dacks zu Accidenter komm "" saz2: ""mir hätte gären zwee där Äppel an dräi dëser """
Amerika	ech fueren d'nächst Woch an Amerika 	an Amerika gëtt haut en neie President gewielt 	different	falsch	"Ass d'Bedeitung vun 'Amerika' an deenen zwee Sätz identesch? saz1: ""ech fueren d'nächst Woch an Amerika "" saz2: ""an Amerika gëtt haut en neie President gewielt """
zéien	de Kuch schmaacht besser, wann s de d'Roséngen e puer Stonnen am Rumm zéie léiss 	den Tubaksgestank zitt direkt an d'Kleeder 	different	falsch	"Ass d'Bedeitung vun 'zéien' an deenen zwee Sätz identesch? saz1: ""de Kuch schmaacht besser, wann s de d'Roséngen e puer Stonnen am Rumm zéie léiss "" saz2: ""den Tubaksgestank zitt direkt an d'Kleeder """
Bypass	duerch e Bypass kann d'Blutt nees normal an den Häerzmuskel fléissen 	fir datt kann un der Autobunn geschafft ginn, leeft den Trafick iwwer e Bypass 	different	falsch	"Ass d'Bedeitung vun 'Bypass' an deenen zwee Sätz identesch? saz1: ""duerch e Bypass kann d'Blutt nees normal an den Häerzmuskel fléissen "" saz2: ""fir datt kann un der Autobunn geschafft ginn, leeft den Trafick iwwer e Bypass """
onbezuelt	ech hunn e ganze Koup onbezuelt Rechnungen am Tirang leien 	ee vu mengen Aarbechtskolleegen huet onbezuelte Congé geholl, fir ronderëm d'Welt ze reesen 	different	falsch	"Ass d'Bedeitung vun 'onbezuelt' an deenen zwee Sätz identesch? saz1: ""ech hunn e ganze Koup onbezuelt Rechnungen am Tirang leien "" saz2: ""ee vu mengen Aarbechtskolleegen huet onbezuelte Congé geholl, fir ronderëm d'Welt ze reesen """
Zeen	hie kennt sech an der literarescher Zeen gutt aus 	den Drogemilieu ass eng speziell Zeen 	identical	richteg	"Ass d'Bedeitung vun 'Zeen' an deenen zwee Sätz identesch? saz1: ""hie kennt sech an der literarescher Zeen gutt aus "" saz2: ""den Drogemilieu ass eng speziell Zeen """
Vertriedung	et gëtt Garagen, déi hunn d'Vertriedung fir e puer Autosmarken 	eist Geschäft huet zënter drësseg Joer d'Vertriedung fir dës professionell Kaffismaschinnen 	identical	richteg	"Ass d'Bedeitung vun 'Vertriedung' an deenen zwee Sätz identesch? saz1: ""et gëtt Garagen, déi hunn d'Vertriedung fir e puer Autosmarken "" saz2: ""eist Geschäft huet zënter drësseg Joer d'Vertriedung fir dës professionell Kaffismaschinnen """
ofweisen	den Heeschert ass iwwerall ofgewise ginn 	hatt huet hien ofgewisen , well en opdrénglech ginn ass 	identical	richteg	"Ass d'Bedeitung vun 'ofweisen' an deenen zwee Sätz identesch? saz1: ""den Heeschert ass iwwerall ofgewise ginn "" saz2: ""hatt huet hien ofgewisen , well en opdrénglech ginn ass """
Drot	mir hunn en neien Drot ëm de Gaart gezunn 	ech hunn e gudden Drot zu mengem Professer 	different	falsch	"Ass d'Bedeitung vun 'Drot' an deenen zwee Sätz identesch? saz1: ""mir hunn en neien Drot ëm de Gaart gezunn "" saz2: ""ech hunn e gudden Drot zu mengem Professer """
positiv	du muss elo positiv denken! 	wat ass dat e positive Mënsch 	identical	richteg	"Ass d'Bedeitung vun 'positiv' an deenen zwee Sätz identesch? saz1: ""du muss elo positiv denken! "" saz2: ""wat ass dat e positive Mënsch """
cool	du hues cool Elteren, se loossen dech ëmmer erausgoen! 	bleif cool , looss dech net provozéieren! 	identical	richteg	"Ass d'Bedeitung vun 'cool' an deenen zwee Sätz identesch? saz1: ""du hues cool Elteren, se loossen dech ëmmer erausgoen! "" saz2: ""bleif cool , looss dech net provozéieren! """
Däiwel	dee Krappert ass frech ewéi der Däiwel ! 	et ass kal ewéi der Däiwel 	identical	richteg	"Ass d'Bedeitung vun 'Däiwel' an deenen zwee Sätz identesch? saz1: ""dee Krappert ass frech ewéi der Däiwel ! "" saz2: ""et ass kal ewéi der Däiwel """
wann	so mer Bescheed, wann de Bréifdréier kënnt 	hei ass e Mëttel, fir wann s de dech erkaalt hues 	different	falsch	"Ass d'Bedeitung vun 'wann' an deenen zwee Sätz identesch? saz1: ""so mer Bescheed, wann de Bréifdréier kënnt "" saz2: ""hei ass e Mëttel, fir wann s de dech erkaalt hues """
Hëllef	fir déi Accidentéiert koum all Hëllef ze spéit 	d'Pompjeeën hunn d'Dier missen abriechen, fir de Leit zu Hëllef ze kommen 	identical	richteg	"Ass d'Bedeitung vun 'Hëllef' an deenen zwee Sätz identesch? saz1: ""fir déi Accidentéiert koum all Hëllef ze spéit "" saz2: ""d'Pompjeeën hunn d'Dier missen abriechen, fir de Leit zu Hëllef ze kommen """
Kränkt	Egoismus ass eng Kränkt vun der moderner Gesellschaft 	méindes mueres ze feele gouf bei him zu enger Kränkt 	different	falsch	"Ass d'Bedeitung vun 'Kränkt' an deenen zwee Sätz identesch? saz1: ""Egoismus ass eng Kränkt vun der moderner Gesellschaft "" saz2: ""méindes mueres ze feele gouf bei him zu enger Kränkt """
Liquidatioun	d'Bank ass a Liquidatioun 	d'Liquidatioun vun der bankrotter Entreprise léisst sech net méi ëmgoen 	identical	richteg	"Ass d'Bedeitung vun 'Liquidatioun' an deenen zwee Sätz identesch? saz1: ""d'Bank ass a Liquidatioun "" saz2: ""d'Liquidatioun vun der bankrotter Entreprise léisst sech net méi ëmgoen """
begréissen	si hu sech frëndlech begréisst a sinn zesumme weidergaangen 	eisen Epicier begréisst all Client mat där selwechter Héiflechkeet 	identical	richteg	"Ass d'Bedeitung vun 'begréissen' an deenen zwee Sätz identesch? saz1: ""si hu sech frëndlech begréisst a sinn zesumme weidergaangen "" saz2: ""eisen Epicier begréisst all Client mat där selwechter Héiflechkeet """
zesummen	wéi vill huet dech dat alles zesumme kascht? 	am Ufank vum drëtte Saz mussen d'Museker alleguer zesummen asetzen 	different	falsch	"Ass d'Bedeitung vun 'zesummen' an deenen zwee Sätz identesch? saz1: ""wéi vill huet dech dat alles zesumme kascht? "" saz2: ""am Ufank vum drëtte Saz mussen d'Museker alleguer zesummen asetzen """
Fletan	de Fletan ass dee gréisste Plattfësch a ka bis 400 kg schwéier ginn 	de Fletan zerfält séier an der Pan 	different	falsch	"Ass d'Bedeitung vun 'Fletan' an deenen zwee Sätz identesch? saz1: ""de Fletan ass dee gréisste Plattfësch a ka bis 400 kg schwéier ginn "" saz2: ""de Fletan zerfält séier an der Pan """
ustoussen	virun der Schoul gouf e Kand vun engem Auto ugestouss 	mir hunn zesummen op dat neit Joer ugestouss 	different	falsch	"Ass d'Bedeitung vun 'ustoussen' an deenen zwee Sätz identesch? saz1: ""virun der Schoul gouf e Kand vun engem Auto ugestouss "" saz2: ""mir hunn zesummen op dat neit Joer ugestouss """
Kamillentéi	wann en den Hals wéi huet, da guergelt mäi Papp mat Kamillentéi 	ier ech schlofe ginn, drénken ech gär Kamillentéi 	identical	richteg	"Ass d'Bedeitung vun 'Kamillentéi' an deenen zwee Sätz identesch? saz1: ""wann en den Hals wéi huet, da guergelt mäi Papp mat Kamillentéi "" saz2: ""ier ech schlofe ginn, drénken ech gär Kamillentéi """
entgéintkommen	a senger neier Propos ass d'Patronat de Gewerkschaften entgéintkomm 	den Direkter ass eis entgéintkomm an huet eis feierlech begréisst 	different	falsch	"Ass d'Bedeitung vun 'entgéintkommen' an deenen zwee Sätz identesch? saz1: ""a senger neier Propos ass d'Patronat de Gewerkschaften entgéintkomm "" saz2: ""den Direkter ass eis entgéintkomm an huet eis feierlech begréisst """
Batz	ech iessen den Apel mam Batz 	wat hues du do e Batz Fleesch kaaft! 	different	falsch	"Ass d'Bedeitung vun 'Batz' an deenen zwee Sätz identesch? saz1: ""ech iessen den Apel mam Batz "" saz2: ""wat hues du do e Batz Fleesch kaaft! """
Walz	op allgemenge Wonsch spillt den Orchester elo eng Walz 	d'Brautpuer danzt traditionell déi éischt Walz 	identical	richteg	"Ass d'Bedeitung vun 'Walz' an deenen zwee Sätz identesch? saz1: ""op allgemenge Wonsch spillt den Orchester elo eng Walz "" saz2: ""d'Brautpuer danzt traditionell déi éischt Walz """
oflauschteren	d'Doktesch huet mech ofgelauschtert 	beim Oflauschtere krut de Kannerdokter de Verdacht, datt dee klenge Jong eng Longenentzündung hätt 	identical	richteg	"Ass d'Bedeitung vun 'oflauschteren' an deenen zwee Sätz identesch? saz1: ""d'Doktesch huet mech ofgelauschtert "" saz2: ""beim Oflauschtere krut de Kannerdokter de Verdacht, datt dee klenge Jong eng Longenentzündung hätt """
Parfum	meng Schwëster krut fir de Gebuertsdag e Flacon Parfum geschenkt 	heibanne richt et net grad no Parfum 	identical	richteg	"Ass d'Bedeitung vun 'Parfum' an deenen zwee Sätz identesch? saz1: ""meng Schwëster krut fir de Gebuertsdag e Flacon Parfum geschenkt "" saz2: ""heibanne richt et net grad no Parfum """
Drall	mat deem richtegen Drall wier deng Klatz net am Kullang gelant 	ech kréien d'Verlängerung net richteg opgewéckelt, well ze vill Drall dran ass 	different	falsch	"Ass d'Bedeitung vun 'Drall' an deenen zwee Sätz identesch? saz1: ""mat deem richtegen Drall wier deng Klatz net am Kullang gelant "" saz2: ""ech kréien d'Verlängerung net richteg opgewéckelt, well ze vill Drall dran ass """
bannendran	den Apel huet appetitlech ausgesinn, mee bannendra war e faul 	vu bausse gesäit een dem Bakzant näischt un, mee bannendran ass en déck entzünt 	identical	richteg	"Ass d'Bedeitung vun 'bannendran' an deenen zwee Sätz identesch? saz1: ""den Apel huet appetitlech ausgesinn, mee bannendra war e faul "" saz2: ""vu bausse gesäit een dem Bakzant näischt un, mee bannendran ass en déck entzünt """
rompelen	hatt huet vun Eekel seng Nues gerompelt 	wéi ech vun der Disko geschwat hunn, huet meng Mamm d'Stier gerompelt 	identical	richteg	"Ass d'Bedeitung vun 'rompelen' an deenen zwee Sätz identesch? saz1: ""hatt huet vun Eekel seng Nues gerompelt "" saz2: ""wéi ech vun der Disko geschwat hunn, huet meng Mamm d'Stier gerompelt """
Punkt	ech hat ëmmer gutt Punkten an der Schoul 	et sti fënnef Punkten um Programm 	different	falsch	"Ass d'Bedeitung vun 'Punkt' an deenen zwee Sätz identesch? saz1: ""ech hat ëmmer gutt Punkten an der Schoul "" saz2: ""et sti fënnef Punkten um Programm """
Kéis	hien huet Kéis an de Been 	ech hunn de Kéis kritt! 	identical	richteg	"Ass d'Bedeitung vun 'Kéis' an deenen zwee Sätz identesch? saz1: ""hien huet Kéis an de Been "" saz2: ""ech hunn de Kéis kritt! """
Rondgang	op sengem Rondgang ass dem Giischtjen opgefall, datt ee vun de Prisonéier net a senger Zell war 	eise Veräin organiséiert all Joer en thematesche Rondgang duerch d'Alstad 	different	falsch	"Ass d'Bedeitung vun 'Rondgang' an deenen zwee Sätz identesch? saz1: ""op sengem Rondgang ass dem Giischtjen opgefall, datt ee vun de Prisonéier net a senger Zell war "" saz2: ""eise Veräin organiséiert all Joer en thematesche Rondgang duerch d'Alstad """
Tomm	fiert dëse Bus op d'Tomm bei Furen? 	ech wunnen op der Tomm 	identical	richteg	"Ass d'Bedeitung vun 'Tomm' an deenen zwee Sätz identesch? saz1: ""fiert dëse Bus op d'Tomm bei Furen? "" saz2: ""ech wunnen op der Tomm """
Ausbau	eist Land huet Interêt, fir den Ausbau vu frëndschaftleche Relatioune mam Ausland ze ënnerstëtzen 	den Ausbau vum Motor huet e ganzen Dag gedauert 	different	falsch	"Ass d'Bedeitung vun 'Ausbau' an deenen zwee Sätz identesch? saz1: ""eist Land huet Interêt, fir den Ausbau vu frëndschaftleche Relatioune mam Ausland ze ënnerstëtzen "" saz2: ""den Ausbau vum Motor huet e ganzen Dag gedauert """
befaassen	et huet nach kee sech mat där Fro befaasst 	mat deem Problem musse mer eis nach befaassen 	identical	richteg	"Ass d'Bedeitung vun 'befaassen' an deenen zwee Sätz identesch? saz1: ""et huet nach kee sech mat där Fro befaasst "" saz2: ""mat deem Problem musse mer eis nach befaassen """
ofstëmmen	virum Concert stëmmen d'Museker hir Instrumenter openeen of 	den Usträicher huet d'Faarwe fir de Living gutt openeen ofgestëmmt 	identical	richteg	"Ass d'Bedeitung vun 'ofstëmmen' an deenen zwee Sätz identesch? saz1: ""virum Concert stëmmen d'Museker hir Instrumenter openeen of "" saz2: ""den Usträicher huet d'Faarwe fir de Living gutt openeen ofgestëmmt """
Getuuts	dat Getuuts dobaussen op der Strooss kritt keen Enn 	wann een duerch d'Museksschoul geet, héiert een an de Gäng de Schüler hiert Geklimpers a Getuuts 	different	falsch	"Ass d'Bedeitung vun 'Getuuts' an deenen zwee Sätz identesch? saz1: ""dat Getuuts dobaussen op der Strooss kritt keen Enn "" saz2: ""wann een duerch d'Museksschoul geet, héiert een an de Gäng de Schüler hiert Geklimpers a Getuuts """
stramm	vun dëser Übung kriss de e strammen Hënner 	d'Seel ass ze stramm , et riskéiert ze räissen 	identical	richteg	"Ass d'Bedeitung vun 'stramm' an deenen zwee Sätz identesch? saz1: ""vun dëser Übung kriss de e strammen Hënner "" saz2: ""d'Seel ass ze stramm , et riskéiert ze räissen """
landen	wou lant een, wann een dësem Wee nogeet? 	ech si mam Auto am Gruef gelant 	identical	richteg	"Ass d'Bedeitung vun 'landen' an deenen zwee Sätz identesch? saz1: ""wou lant een, wann een dësem Wee nogeet? "" saz2: ""ech si mam Auto am Gruef gelant """
Staf	mäin neien Diwwi ass mat Staf gefëllt 	um Hiert sengem Staf ass eng kleng Schell 	different	falsch	"Ass d'Bedeitung vun 'Staf' an deenen zwee Sätz identesch? saz1: ""mäin neien Diwwi ass mat Staf gefëllt "" saz2: ""um Hiert sengem Staf ass eng kleng Schell """
soen	so , ech hätt der et gesot! 	ech soen näischt, wat ech net ka beweisen 	identical	richteg	"Ass d'Bedeitung vun 'soen' an deenen zwee Sätz identesch? saz1: ""so , ech hätt der et gesot! "" saz2: ""ech soen näischt, wat ech net ka beweisen """
